empresa,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Total,dominio
27c896f560f7e69b9cb289bde17e,38,22,12,16,13,13,7,11,16,18,14,13,17,19,33,23,25,33,28,23,30,27,33,24,508,0
67ed24258378631c3ff5153dafc1,28,12,9,5,13,20,51,125,107,120,100,97,86,102,108,92,100,128,112,97,75,69,25,25,1706,0
1d0556892d1b485398e185f2b251,0,0,0,0,0,1,29,85,53,60,53,61,94,65,69,55,64,82,60,51,41,9,1,6,939,0
36f6ec5f76de55a9137968fd0fde,55,42,28,25,30,39,53,103,146,175,160,176,173,204,170,192,193,219,204,173,145,103,93,86,2987,0
947b7b21d2683ab0817b88c7192d,16,10,7,8,2,4,21,53,103,93,77,102,90,77,90,76,69,96,107,105,82,53,33,24,1398,0
40fbf3e5cb00bb1c3fca1c33211a,4,0,0,0,0,0,57,70,91,110,92,99,89,102,113,116,106,106,132,119,135,131,158,98,1928,0
9f4ac712db5301e97e647a0c1847,17,7,11,13,12,10,3,4,8,11,14,9,18,7,11,13,13,17,13,14,20,13,23,27,308,0
dc579917132c62351bbc308149d1,3,3,3,3,0,2,19,45,39,40,41,48,43,50,51,55,60,52,56,51,61,41,50,19,835,0
92caad747141bb5777c127246b9b,80,67,52,52,50,53,65,76,85,86,79,91,98,75,86,88,103,101,88,103,105,104,121,97,2005,0
73a132e85bb2e97fae624594a9e1,0,0,0,0,0,0,22,40,44,45,44,33,43,49,47,49,59,46,61,54,49,42,22,6,755,0
e0227e9f91b7322ba6430f650740,0,0,0,0,0,0,20,39,52,55,72,81,112,81,72,55,52,75,105,104,107,85,4,0,1171,0
4cf0bb54ad6766ce47237a361e41,4,2,2,0,2,11,53,69,79,69,76,64,70,87,65,49,65,78,82,57,62,43,7,7,1103,0
42fdd498be059358bd2f68468455,19,4,0,0,0,4,44,78,65,80,68,77,77,60,77,80,88,91,107,96,88,76,74,46,1399,0
fcdaa29a79824111c555103544f3,108,82,62,52,52,53,125,126,150,162,208,186,143,160,199,198,242,218,197,193,162,170,185,147,3580,0
b17fb3c9a359f7b9418b8af3f2c8,1,3,0,1,1,0,12,17,18,18,11,30,18,27,24,23,32,32,46,34,45,38,25,16,472,0
c47e445d797bca7804cfef401e53,17,13,6,15,17,30,58,101,110,103,102,108,100,102,101,109,151,139,142,136,99,74,53,21,1907,0
036e79533ebc8fbf8e6d3af84dfb,0,0,0,0,0,0,66,189,214,173,209,228,245,260,215,183,232,250,300,263,220,70,2,0,3319,0
f7005fc91e674659fc585a904310,28,12,13,9,27,114,155,196,242,296,356,331,351,452,394,325,331,352,410,433,452,348,109,64,5800,0
6f93a061237bc167f3d615f2883d,14,19,14,10,15,37,36,58,83,80,103,113,113,148,36,102,64,104,137,101,111,143,55,52,1748,0
17d31cb3b4a89477e7890bdf6922,52,47,34,39,24,24,19,32,30,40,39,48,40,54,33,58,57,66,68,50,65,59,74,74,1126,0
114d55416d8bda48a987cda2cdbe,2,0,0,0,0,3,62,162,244,239,295,263,285,275,228,227,254,256,270,209,182,132,12,0,3600,0
fede8f990692669e66fe3d0c49af,1,0,0,0,0,0,12,52,52,62,88,60,70,53,75,64,64,74,89,91,68,48,24,12,1059,0
3927c68eee9874fd6d2e7aa775de,10,4,2,4,7,6,5,20,35,43,51,35,39,23,38,38,48,61,51,34,42,26,14,13,649,0
bebc2507cc6a288219256a6b97bf,97,87,59,48,53,56,37,56,68,61,66,56,62,67,45,49,66,80,93,75,76,87,83,122,1649,0
ccac71fc00d6a845d4791f930ade,43,22,13,15,6,13,17,28,20,18,25,27,40,28,30,42,55,48,42,58,42,53,37,44,766,0
5f78d4dc42bcaabeb2b4c21bd46a,5,2,0,1,2,23,80,141,223,287,335,342,398,332,156,178,212,248,314,272,244,163,6,2,3966,0
a0dbbadd9183aaeb495f38409e08,19,12,6,6,8,3,8,7,3,7,6,7,14,10,16,21,14,21,19,20,18,26,20,22,313,0
